Date,Open,High,Low,Close,Adj Close,Volume
11/6/18,15.92,16.67,15.92,16.469999,16.469999,717900
11/7/18,15.5,15.9,14.86,15.43,15.43,2750400
11/8/18,15.37,15.37,14.75,14.85,14.85,1581000
11/9/18,13.61,15.31,13.5,15.06,15.06,3650600
11/12/18,14.7,15.8,14.7,15.34,15.34,1327300
11/13/18,15.37,16.24,15.34,15.6,15.6,1347600
11/14/18,15.78,15.91,15.13,15.16,15.16,1133500
11/15/18,15.13,15.302,14.75,15.05,15.05,925300
11/16/18,14.9,15.27,14.86,15.22,15.22,911100
11/19/18,15.23,15.36,14.61,14.67,14.67,1296400
11/20/18,14.5,14.845,14.21,14.41,14.41,856800
11/21/18,14.51,14.865,14.36,14.38,14.38,1173500
11/23/18,14.37,14.98,14.28,14.73,14.73,314100
11/26/18,14.7,15.5,14.65,15.36,15.36,783700
11/27/18,15.38,15.5,15.05,15.46,15.46,499900
11/28/18,15.5,16.33,15.38,16.280001,16.280001,691100
11/29/18,16.1,17.6,16.1,17.120001,17.120001,1303600
11/30/18,17.049999,17.43,16.790001,16.959999,16.959999,848300
12/3/18,17.25,17.290001,16.52,17.15,17.15,577500
12/4/18,17.02,17.18,16.690001,16.799999,16.799999,896100
12/6/18,16.58,17.610001,16.309999,17.58,17.58,1329300
12/7/18,17.57,17.940001,17.27,17.459999,17.459999,1324000
12/10/18,17.48,17.49,16.799999,16.99,16.99,927300
12/11/18,17.09,17.26,16.610001,16.799999,16.799999,553100
12/12/18,16.93,17.32,16.85,17.07,17.07,533900
12/13/18,17.15,17.41,16.57,16.780001,16.780001,820300
12/14/18,16.43,16.6,15.9,15.91,15.91,743200
12/17/18,15.9,16.129999,15.31,15.38,15.38,798200
12/18/18,15.5,15.69,15,15.14,15.14,570200
12/19/18,15.18,15.28,14.42,14.53,14.53,1042800
12/20/18,14.55,14.68,14.05,14.21,14.21,1000800
12/21/18,14.21,14.38,13.565,14.09,14.09,1102600
12/24/18,13.91,14.17,13.81,13.92,13.92,431100
12/26/18,13.96,15.02,13.67,14.93,14.93,597100
12/27/18,14.62,15.2,14.06,15.19,15.19,731300
12/28/18,15.26,15.349,14.1,14.46,14.46,822600
12/31/18,14.47,14.507,13.92,14.4,14.4,909700
1/2/19,14.01,14.751,13.9,14.57,14.57,423800
1/3/19,14.51,15.13,14.19,14.65,14.65,577400
1/4/19,14.88,15.48,14.72,15.2,15.2,457800
1/7/19,15.25,15.88,15.14,15.8,15.8,537400
1/8/19,15.33,15.633,14.95,15.56,15.56,589800
1/9/19,15.12,15.9,15.11,15.78,15.78,602800
1/10/19,15.66,16.389999,15.515,16.360001,16.360001,633700
1/11/19,16.309999,16.969999,16.15,16.959999,16.959999,544500
1/14/19,16.92,17.219999,16.715,17.120001,17.120001,678600
1/15/19,17.16,17.360001,16.625,17.200001,17.200001,1345700
1/16/19,17.23,17.620001,16.549999,17.370001,17.370001,768900
1/17/19,17.25,18.065001,17.18,18.01,18.01,791400
1/18/19,17.93,18.681,17.66,18.48,18.48,1126100
1/22/19,17.75,17.83,16.15,16.16,16.16,1383600
1/23/19,16.110001,16.395,15.7,15.86,15.86,665800
1/24/19,16.1,16.18,15.59,16.129999,16.129999,485700
1/25/19,16.25,16.82,16.120001,16.709999,16.709999,391100
1/28/19,16.6,17.1,16.33,16.940001,16.940001,392500
1/29/19,17,17.93,17,17.6,17.6,746600
1/30/19,17.700001,17.879999,17.139999,17.18,17.18,1077300
1/31/19,17.24,17.91,17.209999,17.889999,17.889999,779800
2/1/19,17.9,17.98,17.4,17.469999,17.469999,571600
2/4/19,17.83,18.360001,17.540001,18.219999,18.219999,1116000
2/5/19,18.33,18.690001,18.190001,18.68,18.68,702000
2/6/19,18.559999,18.68,17.99,18.309999,18.309999,754500
2/7/19,18.26,18.368999,17.23,17.73,17.73,1152500
2/8/19,17.709999,18.219999,17.700001,18.139999,18.139999,534000
2/11/19,18.209999,18.42,18.07,18.120001,18.120001,628700
2/12/19,18.459999,18.459999,18,18.18,18.18,819400
2/13/19,18.190001,18.385,17.74,18.16,18.16,902400
2/14/19,18.139999,18.700001,17.969999,18.33,18.33,1381600
2/15/19,18.709999,20.08,18.709999,19.99,19.99,4779300
2/19/19,19.639999,19.9,18.52,19.1,19.1,2143300
2/20/19,19.030001,19.24,18.469999,18.65,18.65,1501000
2/21/19,18.6,19.209999,18.257,19.059999,19.059999,832400
2/22/19,19.559999,19.860001,19.379999,19.709999,19.709999,1134600
2/25/19,19.75,19.84,19.17,19.52,19.52,1023400
2/26/19,19.469999,19.5,18.809999,19.110001,19.110001,975400
2/27/19,19.07,19.639999,18.709999,19.610001,19.610001,1084500
2/28/19,19.52,20.309999,18.889999,19.969999,19.969999,4574900
3/1/19,20.52,20.530001,19.379999,20,20,1846700
3/4/19,20.370001,20.6,19.92,20.43,20.43,1486800
3/5/19,20.5,20.74,20.26,20.42,20.42,982000
3/6/19,20.26,20.33,19.209999,19.440001,19.440001,1705700
3/7/19,19.469999,19.639999,19.129999,19.16,19.16,944700
3/8/19,19.1,19.43,18.82,19.07,19.07,2081500
3/11/19,19.15,19.32,18.879999,19.129999,19.129999,2065200
3/12/19,19.25,19.309999,18.9,19.09,19.09,1027000
3/13/19,19.190001,19.280001,18.84,19.09,19.09,602600
3/14/19,19.09,19.235001,18.370001,18.5,18.5,972000
3/15/19,18.65,18.719999,18.33,18.48,18.48,1261300
3/18/19,18.559999,19.08,18.35,18.450001,18.450001,690200
3/19/19,18.66,19.33,18.65,19.049999,19.049999,1307200
3/20/19,19.049999,19.370001,18.76,19.030001,19.030001,951800
3/21/19,19.030001,19.59,18.950001,19.51,19.51,795700
3/22/19,19.48,20.139999,19.325001,19.42,19.42,1025100
3/25/19,19.33,19.629999,18.870001,19.549999,19.549999,883400
3/26/19,19.889999,20.51,19.795,20.08,20.08,1136000
3/27/19,20.290001,20.790001,20.08,20.639999,20.639999,865000
3/28/19,20.75,20.799999,19.82,20.299999,20.299999,1363000
3/29/19,20.459999,20.530001,20.139999,20.27,20.27,634000
4/1/19,20.67,21.950001,20.549,21.65,21.65,2521800
4/2/19,21.51,22.32,21.43,22.26,22.26,1121700
4/3/19,22.370001,22.940001,22.23,22.639999,22.639999,1051100
4/4/19,22.610001,22.84,22.059999,22.799999,22.799999,1031300
4/5/19,22.85,23.469999,22.799999,23.450001,23.450001,1708000
4/8/19,22.959999,23.41,22.780001,22.860001,22.860001,999400
4/9/19,22.790001,22.815001,21.73,21.959999,21.959999,780700
4/10/19,21.92,22.549999,21.9,22.450001,22.450001,446000
4/11/19,22.469999,22.719999,22.200001,22.559999,22.559999,437400
4/12/19,23,23.25,22.42,22.75,22.75,591300
4/15/19,22.74,22.959999,22.146,22.24,22.24,499600
4/16/19,22.200001,22.450001,22.129999,22.209999,22.209999,478100
4/17/19,22.290001,22.305,21.4,21.790001,21.790001,604900
4/18/19,21.77,22.25,21.540001,22.15,22.15,636400
4/22/19,22.18,22.24,21.360001,21.48,21.48,491600
4/23/19,21.5,22.01,21.474001,21.82,21.82,567000
4/24/19,21.790001,22.01,21.07,21.139999,21.139999,596300
4/25/19,21.1,21.73,21.030001,21.42,21.42,584500
4/26/19,21.450001,21.940001,21.35,21.799999,21.799999,752000
4/29/19,21.84,22.042999,21.65,21.860001,21.860001,354000
4/30/19,21.9,21.93,20.48,20.68,20.68,1275100
5/1/19,20.82,21.15,19.76,19.879999,19.879999,1188900
5/2/19,19.76,20.370001,19.370001,19.6,19.6,1020600
5/3/19,19.74,20.389999,19.66,20.299999,20.299999,605100
